portal_slug,research_date,camp_name,section,source_type,blurb,listing_url,source_name,alternate_source_url,alternate_source_domain,alternate_source_title,alt_confidence,alt_score,alt_reason,alt_checked_at
atlanta-families,2026-02-20,Career Camp Atlanta,Featured Day Camps,day,"Career discovery should be engaging, inspiring, and hands-on. Career Camp ATL is designed to immerse students grades 6-12 in real-world experiences that go beyond what schools offer, providing practical insights, mentorship, and skill-building opportunities through career exploration workshops that will help shape their future. June 14-17",https://www.atlantaparent.com/directory/69108/career-camp-atlanta/,Atlanta Parent,,,Summer Academy Camps at University of Georgia,none,19,"summer+camp, metro-geo",2026-02-20T04:56:27.239151+00:00
atlanta-families,2026-02-20,Forefront Arts Theatre Camp,Featured Day Camps,day,"Calling all kids and teens who love the spotlight! One-week theatre camps including K Pop Campers, Wicked, Harry Potter, Tangled, Marvel, Hamilton, Zootopia, Puppetry, Descendants & Zombies, Newsies, High School Musical and Percy Jackson! Full-day camps for ages 5-16, plus Counselor-In-Training and Internship programs. 13 locations. June 1-July 31",https://www.atlantaparent.com/directory/16053/forefront-arts-performance-camp/,Atlanta Parent,,,Forefront Arts - Camp,none,17,"tokens:2, camp",2026-02-20T04:56:32.659449+00:00
atlanta-families,2026-02-20,ITP Training Academy Racquet Camps,Featured Day Camps,day,"ITP camps deliver a fun, well-rounded racquet experience featuring tennis, pickleball and padel at one convenient facility. Racquet Camp (ages 8+) emphasizes skill development and match play; Day Camp (ages 5-7) combines racquet sports with creative activities, games and character building. June 1-July 31",https://www.atlantaparent.com/directory/68533/itp-atlanta-kids-summer-camp/,Atlanta Parent,,,Junior Summer Camps - Mouratoglou Tennis Center Atlanta,none,16,"summer+camp, metro-geo",2026-02-20T04:56:33.774751+00:00
atlanta-families,2026-02-20,MODA Design Camps,Featured Day Camps,day,"Get ready for an unforgettable summer! Young creators ages 6-18 dive into hands-on experiences that ignite imagination, inspire innovation and build a better world. Whether they’re building with LEGO®, designing future cities, or reimagining Atlanta’s neighborhoods, kids and teens explore the power of design in fun and meaningful ways. June 1-July 24",https://www.atlantaparent.com/directory/60961/moda-museum-of-design-atlanta/,Atlanta Parent,https://www.museumofdesign.org/designcamp,www.museumofdesign.org,2026 Summer Design Camp in Atlanta — MODA,low,31,"tokens:2, summer+camp, metro-geo",2026-02-20T04:56:37.021908+00:00
atlanta-families,2026-02-20,The Walker School Summer Programs,Featured Day Camps,day,Walker Summer Programs are the best way to spend your summer! Offering an extensive and diverse selection of enrichment opportunities for students ages 3-14. Half-day and full-day options available weekly. Early drop-off and extended care are available. June 1-July 24,https://www.atlantaparent.com/directory/16323/walker-school-summer-programs/,Atlanta Parent,https://winnie.com/place/atlanta-falcons-summer-camps-the-walker-school-marietta,winnie.com,Atlanta Falcons Summer Camps - The Walker School - Winnie,low,22,"tokens:1, summer+camp, metro-geo",2026-02-20T04:56:43.870488+00:00
atlanta-families,2026-02-20,Zoo Atlanta Summer Safari Camp,Featured Day Camps,day,"Join Zoo Atlanta for an exploration of all things wild! Summer Safari Camp is the perfect experience for children ages 5-14. From Zoo explorations and scientific investigations, young explorers will be immersed in hands-on learning while having fun and meeting friends! Each week campers embark on a different Zoo expedition, exploring wildlife and wild places. May 26 – July 31",https://www.atlantaparent.com/directory/9163/safari-day-camp-zoo-atlanta/,Atlanta Parent,https://zooatlanta.org/program/summer-camp/,zooatlanta.org,Summer Safari Camp - Zoo Atlanta,low,25,"tokens:1, summer+camp, metro-geo",2026-02-20T04:56:47.232263+00:00
atlanta-families,2026-02-20,Adventure Camp at MHHE,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Summer programs for rising 1st through 5th graders at KSU. Themes include Time Travelers, Around the World, Theatre and Mystery of History",https://www.atlantaparent.com/directory/68582/adventure-academy-mhhe/,Atlanta Parent,,,Summer Camp-Becker Bldg. – Atlanta Belvedere SDA Church,none,19,"summer+camp, metro-geo",2026-02-20T04:56:48.234009+00:00
atlanta-families,2026-02-20,Fusion Academy Camps,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Middle school enrichment programs and high school virtual experiences offer options for students to catch up, get ahead, or try something new",https://www.atlantaparent.com/directory/69214/fusion-academy-camps/,Atlanta Parent,,,Junior Summer Camps - Mouratoglou Tennis Center Atlanta,none,16,"summer+camp, metro-geo",2026-02-20T04:56:51.691337+00:00
atlanta-families,2026-02-20,The Howard School Summer Camps,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Weeklong camps for K-12th grade will develop student’s math, reading, speaking, and motor skills while keeping it engaging and fun",https://www.atlantaparent.com/directory/69436/the-howard-school-summer-camps/,Atlanta Parent,,,"2026 Guide to Summer Camps in the Atlanta, GA area",none,16,"summer+camp, metro-geo",2026-02-20T04:56:52.815670+00:00
atlanta-families,2026-02-20,Squirrel Hollow Camp at the Bedford School,Academic and Enrichment Summer Camps in Metro Atlanta,day,Campers ages 6-14 enjoy an individualized academic program along with recreational activities that make learning feel exciting and achievable. June 8-July 3,https://www.atlantaparent.com/directory/16425/bedford-school-squirrel-hollow-camp/,Atlanta Parent,https://www.livinin.io/events/squirrel-hollow-summer-camp-the-bedford-school,www.livinin.io,Squirrel Hollow Summer Camp: The Bedford School,low,30,"tokens:3, summer+camp",2026-02-20T04:56:54.082548+00:00
