portal_slug,research_date,camp_name,section,source_type,blurb,listing_url,source_name,alternate_source_url,alternate_source_domain,alternate_source_title,alt_confidence,alt_score,alt_reason,alt_checked_at
atlanta-families,2026-02-20,Atlanta Ballet Centre For Dance Education Summer Dance Programs,Featured Day Camps,day,"Register now for an exciting summer filled with dance, movement and creativity! The official school of Atlanta Ballet offers summer programs for all ages and skill levels, led by dedicated instructors who are passionate about enhancing skills, boosting confidence and fostering a love for dance. June 8-July 25",https://www.atlantaparent.com/directory/16012/atlanta-ballet-centre-dance-education-2/,Atlanta Parent,https://mykidcamp.com/host/atlanta-ballet-centre-for-dance-education-atlanta-ga,mykidcamp.com,Atlanta Ballet Centre For Dance Education Summer Camps | My ...,medium,36,"tokens:3, summer+camp, metro-geo",2026-02-20T04:56:23.910877+00:00
atlanta-families,2026-02-20,Career Camp Atlanta,Featured Day Camps,day,"Career discovery should be engaging, inspiring, and hands-on. Career Camp ATL is designed to immerse students grades 6-12 in real-world experiences that go beyond what schools offer, providing practical insights, mentorship, and skill-building opportunities through career exploration workshops that will help shape their future. June 14-17",https://www.atlantaparent.com/directory/69108/career-camp-atlanta/,Atlanta Parent,,,Summer Academy Camps at University of Georgia,none,19,"summer+camp, metro-geo",2026-02-20T04:56:27.239151+00:00
atlanta-families,2026-02-20,Forefront Arts Theatre Camp,Featured Day Camps,day,"Calling all kids and teens who love the spotlight! One-week theatre camps including K Pop Campers, Wicked, Harry Potter, Tangled, Marvel, Hamilton, Zootopia, Puppetry, Descendants & Zombies, Newsies, High School Musical and Percy Jackson! Full-day camps for ages 5-16, plus Counselor-In-Training and Internship programs. 13 locations. June 1-July 31",https://www.atlantaparent.com/directory/16053/forefront-arts-performance-camp/,Atlanta Parent,,,Forefront Arts - Camp,none,17,"tokens:2, camp",2026-02-20T04:56:32.659449+00:00
atlanta-families,2026-02-20,ITP Training Academy Racquet Camps,Featured Day Camps,day,"ITP camps deliver a fun, well-rounded racquet experience featuring tennis, pickleball and padel at one convenient facility. Racquet Camp (ages 8+) emphasizes skill development and match play; Day Camp (ages 5-7) combines racquet sports with creative activities, games and character building. June 1-July 31",https://www.atlantaparent.com/directory/68533/itp-atlanta-kids-summer-camp/,Atlanta Parent,,,Junior Summer Camps - Mouratoglou Tennis Center Atlanta,none,16,"summer+camp, metro-geo",2026-02-20T04:56:33.774751+00:00
atlanta-families,2026-02-20,MODA Design Camps,Featured Day Camps,day,"Get ready for an unforgettable summer! Young creators ages 6-18 dive into hands-on experiences that ignite imagination, inspire innovation and build a better world. Whether they’re building with LEGO®, designing future cities, or reimagining Atlanta’s neighborhoods, kids and teens explore the power of design in fun and meaningful ways. June 1-July 24",https://www.atlantaparent.com/directory/60961/moda-museum-of-design-atlanta/,Atlanta Parent,https://www.museumofdesign.org/designcamp,www.museumofdesign.org,2026 Summer Design Camp in Atlanta — MODA,low,31,"tokens:2, summer+camp, metro-geo",2026-02-20T04:56:37.021908+00:00
atlanta-families,2026-02-20,Mount Paran Christian School,Featured Day Camps,day,"Plan your summer fun at MPCS! Academic, arts, athletic and, “faith and fun” camps. From fishing and photography, to football or engineering, your child can experience it all. Full-day, Afternoon Adventures, Dude Perfect Camp, or Pickleball are just a few of the more than 140+ summer programs offered in a Christ-centered environment. June 1-July 17",https://www.atlantaparent.com/directory/9190/mount-paran-christian-school?p=9190,Atlanta Parent,https://www.sulekhacare.ca/center_mount-paran-christian-school-summer-programs_summer-camp_in_kennesaw-ga_289,www.sulekhacare.ca,Mount Paran Christian School Summer Programs - Day Care ...,high,68,"exact-name-match, tokens:3, summer+camp, metro-geo",2026-02-20T04:56:38.141433+00:00
atlanta-families,2026-02-20,Pace Academy,Featured Day Camps,day,"The Adventure Begins Here! Camps for K-12th grade for Pace students and students from other schools. Camp options include academic, athletic, STEAM, visual/ performing arts and specialty programs! Driver’s Education, SSAT, Baby Sitters Club camps and workshops are available for older students. June 1-July 17",https://www.atlantaparent.com/directory/16300/pace-academy-summer-programs/,Atlanta Parent,https://www.destinationtheatre.org/pace-summer-camp-programs,www.destinationtheatre.org,Pace Academy Summer Camps — DESTINATION THEATRE,high,51,"exact-name-match, tokens:1, summer+camp",2026-02-20T04:56:41.813288+00:00
atlanta-families,2026-02-20,The Walker School Summer Programs,Featured Day Camps,day,Walker Summer Programs are the best way to spend your summer! Offering an extensive and diverse selection of enrichment opportunities for students ages 3-14. Half-day and full-day options available weekly. Early drop-off and extended care are available. June 1-July 24,https://www.atlantaparent.com/directory/16323/walker-school-summer-programs/,Atlanta Parent,https://winnie.com/place/atlanta-falcons-summer-camps-the-walker-school-marietta,winnie.com,Atlanta Falcons Summer Camps - The Walker School - Winnie,low,22,"tokens:1, summer+camp, metro-geo",2026-02-20T04:56:43.870488+00:00
atlanta-families,2026-02-20,Zoo Atlanta Summer Safari Camp,Featured Day Camps,day,"Join Zoo Atlanta for an exploration of all things wild! Summer Safari Camp is the perfect experience for children ages 5-14. From Zoo explorations and scientific investigations, young explorers will be immersed in hands-on learning while having fun and meeting friends! Each week campers embark on a different Zoo expedition, exploring wildlife and wild places. May 26 – July 31",https://www.atlantaparent.com/directory/9163/safari-day-camp-zoo-atlanta/,Atlanta Parent,https://zooatlanta.org/program/summer-camp/,zooatlanta.org,Summer Safari Camp - Zoo Atlanta,low,25,"tokens:1, summer+camp, metro-geo",2026-02-20T04:56:47.232263+00:00
atlanta-families,2026-02-20,Adventure Camp at MHHE,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Summer programs for rising 1st through 5th graders at KSU. Themes include Time Travelers, Around the World, Theatre and Mystery of History",https://www.atlantaparent.com/directory/68582/adventure-academy-mhhe/,Atlanta Parent,,,Summer Camp-Becker Bldg. – Atlanta Belvedere SDA Church,none,19,"summer+camp, metro-geo",2026-02-20T04:56:48.234009+00:00
atlanta-families,2026-02-20,DiscoverU at Kennesaw State University,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Explore careers, gain real-world skills and experience campus life in a fun, hands-on summer program for ages 14-18. June 1-July 24",https://www.atlantaparent.com/directory/72590/discoveru-summer-programs/,Atlanta Parent,https://mommypoppins.com/atlanta-kids/directory/camps/summer-u-camps-at-kennesaw-state-university,mommypoppins.com,Summer U Camps at Kennesaw State University,medium,36,"tokens:3, summer+camp, metro-geo",2026-02-20T04:56:50.530269+00:00
atlanta-families,2026-02-20,Fusion Academy Camps,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Middle school enrichment programs and high school virtual experiences offer options for students to catch up, get ahead, or try something new",https://www.atlantaparent.com/directory/69214/fusion-academy-camps/,Atlanta Parent,,,Junior Summer Camps - Mouratoglou Tennis Center Atlanta,none,16,"summer+camp, metro-geo",2026-02-20T04:56:51.691337+00:00
atlanta-families,2026-02-20,The Howard School Summer Camps,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Weeklong camps for K-12th grade will develop student’s math, reading, speaking, and motor skills while keeping it engaging and fun",https://www.atlantaparent.com/directory/69436/the-howard-school-summer-camps/,Atlanta Parent,,,"2026 Guide to Summer Camps in the Atlanta, GA area",none,16,"summer+camp, metro-geo",2026-02-20T04:56:52.815670+00:00
atlanta-families,2026-02-20,Squirrel Hollow Camp at the Bedford School,Academic and Enrichment Summer Camps in Metro Atlanta,day,Campers ages 6-14 enjoy an individualized academic program along with recreational activities that make learning feel exciting and achievable. June 8-July 3,https://www.atlantaparent.com/directory/16425/bedford-school-squirrel-hollow-camp/,Atlanta Parent,https://www.livinin.io/events/squirrel-hollow-summer-camp-the-bedford-school,www.livinin.io,Squirrel Hollow Summer Camp: The Bedford School,low,30,"tokens:3, summer+camp",2026-02-20T04:56:54.082548+00:00
atlanta-families,2026-02-20,Swift School Summer Camps,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Summer Explorations, Multisensory Math Clinic and Swift Skills for rising K-6th grade blend academics, enrichment, and life skills into fun, confidence-building experiences. June 1-July 17",https://www.atlantaparent.com/directory/15959/swift-school-2/,Atlanta Parent,,,"2026 Guide to Summer Camps in the Atlanta, GA area",none,16,"summer+camp, metro-geo",2026-02-20T04:56:55.148661+00:00
atlanta-families,2026-02-20,Wealthy Habits Money Smart Camp,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Through fun games and activities, kids ages 11-18 learn earning, budgeting, saving, and investing. June 1-July 23",https://www.atlantaparent.com/directory/15947/wealthy-habits-financial-literacy-programs/,Atlanta Parent,,,History Summer Camp | Atlanta History Center,none,16,"summer+camp, metro-geo",2026-02-20T04:56:56.111952+00:00
atlanta-families,2026-02-20,Camp Carlos at Michael C. Carlos Museum,Art Summer Camps in Metro Atlanta,day,Camp Carlos offers creative and educational half-day camps for ages 7-17 centered on the Museum’s collections. June 1-July 24,https://www.atlantaparent.com/directory/52557/michael-c-carlos-museum-camp-carlos/,Atlanta Parent,https://carlos.emory.edu/camp,carlos.emory.edu,Camp | Emory | Michael C. Carlos Museum,low,28,"tokens:3, camp",2026-02-20T04:56:59.417139+00:00
atlanta-families,2026-02-20,Spruill Center for the Arts,Art Summer Camps in Metro Atlanta,day,"Creative, art-filled summer programs with weekly themes for ages 5-10 and focused studio camps for rising 6th-9th graders . May 26-Aug. 8",https://www.atlantaparent.com/directory/16535/spruill-center-arts-2?p=16535,Atlanta Parent,https://kidvoyage.com/camps/usa/spruill-center-for-the-arts,kidvoyage.com,"Spruill Center For The Arts | Summer Camp in Atlanta, GA ...",high,60,"exact-name-match, tokens:2, summer+camp, metro-geo",2026-02-20T04:57:03.839471+00:00
atlanta-families,2026-02-20,Zone of Light Studio,Art Summer Camps in Metro Atlanta,day,"Weekly themed camps with daily activities, art projects, reading and writing, acting and outdoor games. Ages 5-12. May 26-Aug. 7",https://www.atlantaparent.com/directory/15998/zone-light-studios?p=15998,Atlanta Parent,https://www.findglocal.com/US/Decatur/430604640336257/Zone-of-Light-Studio,www.findglocal.com,"Zone of Light Studio, 558 Medlock Road, Decatur, GA (2026)",high,58,"exact-name-match, tokens:3, metro-geo",2026-02-20T04:57:06.277365+00:00
atlanta-families,2026-02-20,Atlanta Dance Theatre,Dance/Music Camps in Metro Atlanta,day,"Dance camps, workshops and intensives for ages 3-14, at all experience levels",https://www.atlantaparent.com/directory/69217/atlanta-dance-theatre/,Atlanta Parent,https://atlanta.kidsoutandabout.com/content/dance-summer-camps-atlanta,atlanta.kidsoutandabout.com,Dance Summer Camps for Atlanta | Kids Out and About Atlanta,low,22,"tokens:1, summer+camp, metro-geo",2026-02-20T04:57:07.961451+00:00
atlanta-families,2026-02-20,Dance 411 Studios,Dance/Music Camps in Metro Atlanta,day,"Summer dance camp for ages 5-13 includes hip-hop, Afro beats, jazz and musical theater",https://www.atlantaparent.com/directory/69848/dance-411-studios/,Atlanta Parent,https://atlanta.kidsoutandabout.com/content/summer-kids-dance-acting-camps,atlanta.kidsoutandabout.com,Summer Kids Dance & Acting Camps | Kids Out and About Atlanta,low,22,"tokens:1, summer+camp, metro-geo",2026-02-20T04:57:10.469916+00:00
atlanta-families,2026-02-20,GSU College of the Arts Summer Music Institute,Dance/Music Camps in Metro Atlanta,day,"Intensive musician training for ages 13-18; tracks include choral, orchestral, jazz and music industry",https://www.atlantaparent.com/directory/56302/georgia-state-university-college-of-the-arts/,Atlanta Parent,https://thearts.gsu.edu/educational-outreach-summermusic/,thearts.gsu.edu,Summer Music Institute - College of the Arts,low,23,tokens:4,2026-02-20T04:57:11.479408+00:00
atlanta-families,2026-02-20,Norma’s Academy of Dance,Dance/Music Camps in Metro Atlanta,day,"Explore ballet, jazz, creative movement and musical theater—Once Upon a Twirl, Wickedly Wonderful, summer intensive and morel; ages 5-18. June 15-July 15",https://www.atlantaparent.com/directory/69219/normas-academy-of-dance-summer-camps/,Atlanta Parent,https://childcarecenter.us/provider_detail/norma-s-academy-of-dance-fairburn-ga,childcarecenter.us,Norma’s Academy of Dance - Fairburn GA Exempt Only,high,50,"exact-name-match, tokens:2, metro-geo",2026-02-20T04:57:14.720344+00:00
atlanta-families,2026-02-20,School of Rock Buckhead,Dance/Music Camps in Metro Atlanta,day,"Learn to play in a band! Themes for ages 5-18 include Rock 101, Classic Rock, Taylor Swift, Rookies Camp and more. May 26-July 31",https://www.atlantaparent.com/directory/72597/school-of-rock-buckhead/,Atlanta Parent,,,School of Rock | Mommy Poppins - Things To Do in Atlanta with ...,none,17,"tokens:1, camp, metro-geo",2026-02-20T04:57:15.912738+00:00
atlanta-families,2026-02-20,Terminus Ballet School,Dance/Music Camps in Metro Atlanta,day,Summer dance intensives for ages 4-19 enrich young artists’ talents in a supportive studio environment. June 8-July 25,https://www.atlantaparent.com/directory/62690/terminus-modern-ballet-theatre-summer-intensives/,Atlanta Parent,https://www.livinin.io/events/terminus-ballet-school-summer-intensives,www.livinin.io,Terminus Ballet School Summer Intensives - livinin.io,medium,44,"exact-name-match, tokens:2",2026-02-20T04:57:16.997584+00:00
atlanta-families,2026-02-20,Alliance Theatre Drama Camps,"Drama, Theater and Acting Camps in Metro Atlanta",day,"Creative, acting and drama camps for children ages 4-18. Available at 9 convenient Atlanta locations. May 26-Aug. 7",https://www.atlantaparent.com/directory/16047/alliance-theatre-summer-day-camps?p=16047,Atlanta Parent,https://www.atlantajewishtimes.com/topic/alliance-theatre-drama-camps/,www.atlantajewishtimes.com,Alliance Theatre - Drama Camps - Atlanta Jewish Times,high,63,"exact-name-match, tokens:3, camp, metro-geo",2026-02-20T04:57:19.493785+00:00
atlanta-families,2026-02-20,Atlanta Shakespeare Drama Summer Camps,"Drama, Theater and Acting Camps in Metro Atlanta",day,"Camps for rising grades 3-8, plus intensives for 9-12th grade. Explore improvisation, stage combat, musical theatre and Shakespearean plays. June 1-July 27",https://www.atlantaparent.com/directory/9165/atlanta-shakespeare-company-summer-camp/,Atlanta Parent,https://www.campsearch.com/united-states/atlanta/summer-camps/shakespeare-superheroes,www.campsearch.com,"Shakespeare Superheroes | Theatre, Musical & Improv Summer ...",low,22,"tokens:1, summer+camp, metro-geo",2026-02-20T04:57:20.681102+00:00
atlanta-families,2026-02-20,Big Blue Marble Academy Camps,General and Enrichment Camps in Metro Atlanta,day,"Ages 5-12 can explore music, traveling continents to discover rhythms reflecting culture, history, resilience, and joy. June 1-Aug. 7",https://www.atlantaparent.com/directory/51906/big-blue-marble-academy/,Atlanta Parent,https://patch.com/georgia/atlanta/big-blue-marble-academy-atlanta-area-unveils-summer-games-24-camp,patch.com,Big Blue Marble Academy in Atlanta Area Unveils ... - Patch,low,28,"tokens:2, summer+camp, metro-geo",2026-02-20T04:57:22.896540+00:00
