portal_slug,research_date,camp_name,section,source_type,blurb,listing_url,source_name,alternate_source_url,alternate_source_domain,alternate_source_title,alt_confidence,alt_score,alt_reason,alt_checked_at
atlanta-families,2026-02-20,Anyone Can Camps,Featured Day Camps,day,"Discover your spark at Anyone Can, where campers ages 4-12 try new activities and find their passions. A variety of arts, athletics, and STEM activities help campers learn at their own pace. Each week, campers make friends, have fun, and find a new spark that keeps them excited about life and encourages them to try new things. June 1-July 10",https://www.atlantaparent.com/directory/65942/anyonecancamp/,Atlanta Parent,https://atlanta.kidsoutandabout.com/content/anyone-can-camps,atlanta.kidsoutandabout.com,Anyone Can Camps | Kids Out and About Atlanta,medium,49,"exact-name-match, tokens:1, camp, metro-geo; downgraded:trusted-aggregator",2026-02-20T04:56:21.556627+00:00
atlanta-families,2026-02-20,Atlanta History Center,Featured Day Camps,day,"Let your kids step back in time or rewrite the future. Let their curiosity and imaginations run wild as they travel back to the ancient world, discover secret superheroes, investigate historic buildings, chase down news stories, write epic tales, and more. June 1-26",https://www.atlantaparent.com/directory/16329/atlanta-history-center-summer-camps/,Atlanta Parent,https://www.atlantahistorycenter.com/programs-events/summer-camp/,www.atlantahistorycenter.com,Summer Camp | Atlanta History Center,high,54,"exact-name-match, tokens:1, summer+camp, metro-geo",2026-02-20T04:56:22.553629+00:00
atlanta-families,2026-02-20,Builder Bunch,Featured Day Camps,day,"If your child loves LEGO ® and you’re searching for an unforgettable camp experience, Builder Bunch is the perfect choice! Georgia’s #1-rated LEGO camp offers exciting weekly themes like Robotics, Stop-Motion Movie Making, 3D Sculpture, Remote-Control Vehicle Design and Architecture. Ages 6-12. June 1-July 24",https://www.atlantaparent.com/directory/16395/builder-bunch-summer-camp/,Atlanta Parent,https://www.funclubs.com/camps/builder-bunch-lego-camp,www.funclubs.com,LEGO Summer Camp | School Break & Summer Camps - FunClubs,high,54,"exact-name-match, tokens:2, summer+camp",2026-02-20T04:56:24.832906+00:00
atlanta-families,2026-02-20,Camp Invention,Featured Day Camps,day,"Inspire innovative thinking with fun-filled STEM experiences designed to spark creativity and a love for learning. Rising K-6 campers will collaborate with friends to tackle hands-on, open-ended challenges. They’ll team up with robotic capybaras, ride the waves of entrepreneurship, uncover the power of protecting their ideas and build their own DIY space rocket! June 1-July 17",https://www.atlantaparent.com/directory/16396/camp-invention/,Atlanta Parent,https://atlanta.kidsoutandabout.com/content/camp-invention-summer-2025,atlanta.kidsoutandabout.com,Camp Invention Summer 2025 | Kids Out and About Atlanta,medium,54,"exact-name-match, tokens:1, summer+camp, metro-geo; downgraded:trusted-aggregator",2026-02-20T04:56:26.036771+00:00
atlanta-families,2026-02-20,Center for Puppetry Arts,Featured Day Camps,day,"Puppet Camp is the ultimate summer adventure! Campers will have a blast learning about puppetry traditions from all over the world, building their own puppets, and playing and exploring with new friends. Summer Puppet Camps are designed to inspire their specific age group. June 1-July 31",https://www.atlantaparent.com/directory/56986/center-for-puppetry-arts-3/,Atlanta Parent,https://puppet.org/programs/puppet-summer-camp/,puppet.org,Puppet Camp at Center for Puppetry Arts,high,57,"exact-name-match, tokens:2, summer+camp",2026-02-20T04:56:28.369179+00:00
atlanta-families,2026-02-20,Club SciKidz Summer Camps,Featured Day Camps,day,"Club SciKidz is the best place under the sun for STEM based science and technology camps. 70+ offerings include topics such as Veterinary Medicine, LEGO Robotics, Minecraft, American Doll, and Environmental Sciences such as Climate Change and Rescuing the Rainforest! June 8-July 24",https://www.atlantaparent.com/directory/16398/club-scikidz-2/,Atlanta Parent,https://mommypoppins.com/atlanta-kids/directory/club-scikidz-summer-camps,mommypoppins.com,Club SciKidz Summer Camps | Mommy Poppins,medium,54,"exact-name-match, tokens:1, summer+camp, metro-geo; downgraded:trusted-aggregator",2026-02-20T04:56:29.413592+00:00
atlanta-families,2026-02-20,Community Music Centers of Atlanta,Featured Day Camps,day,"CMC Atlanta’s popular themed day camps for kids strike the perfect balance between a creative, effective music curriculum and some good, old-fashioned fun. Themed camps for grades K-5 and Performance Workshops for grades 6-8 and 9-12 include private lessons; four convenient Atlanta locations. June 1-July 31",https://www.atlantaparent.com/directory/16017/community-music-centers-atlanta/,Atlanta Parent,https://atlanta.kidsoutandabout.com/content/day-camps-kids-community-music-centers-atlanta,atlanta.kidsoutandabout.com,Day Camps for Kids - Community Music Centers of Atlanta,medium,63,"exact-name-match, tokens:3, camp, metro-geo; downgraded:trusted-aggregator",2026-02-20T04:56:30.650373+00:00
atlanta-families,2026-02-20,Dad’s Garage Summer Camp,Featured Day Camps,day,"Dad’s Garage, the award-winning nonprofit theatre based in Atlanta, offers comedy and performance camps to kids with a focus on the theatre’s specialty: improv. Campers of all performance levels learn the basics of improv—communication, collaboration, and resiliency—in a supportive, encouraging, and fun atmosphere. June 1-July 31",https://www.atlantaparent.com/directory/19151/dads-garage-theatre-kids-teens-summer-camp/,Atlanta Parent,https://eastatlanta.macaronikid.com/events/67f54220032752b1cabec446/dads-garage-summer-camp-open-house,eastatlanta.macaronikid.com,Dad's Garage Summer Camp Open House | Macaroni KID East ...,medium,54,"exact-name-match, tokens:1, summer+camp, metro-geo; downgraded:trusted-aggregator",2026-02-20T04:56:31.657087+00:00
atlanta-families,2026-02-20,Marist School Summer Camps,Featured Day Camps,day,"Marist is made for unforgettable summers! The ones that plunge kids deep into new experiences that unleash curiosity, teach new skills, and amplify talents. Tackle sports. Explore the arts. Compose music for video games. Marist Summer Camps give kids a place to shine. June 1-July 31",https://www.atlantaparent.com/directory/16506/marist-school-2/,Atlanta Parent,http://maristschoolga.myrec.com/info/default.aspx,maristschoolga.myrec.com,Marist School Summer Camps: Online Registration by MyRec.com ...,high,57,"exact-name-match, tokens:1, summer+camp, metro-geo",2026-02-20T04:56:35.004356+00:00
atlanta-families,2026-02-20,MJCCA Day Camps,Featured Day Camps,day,"At MJCCA Day Camps, campers make lifelong friendships, try something new and have the best summer ever! The possibilities for an amazing summer are endless with theme, sports, performing arts, teen and traditional camps for kids in rising Pre-K-9th grade. May 26-July 31",https://www.atlantaparent.com/directory/16287/marcus-jewish-community-center-atlanta-mjcca-summer-day-camps/,Atlanta Parent,https://www.atlantajcc.org/our-programs/camps/mjcca-day-camps/,www.atlantajcc.org,"MJCCA Day Camps - Marcus JCC of Atlanta (MJCCA) in Dunwoody, GA",high,52,"exact-name-match, tokens:1, camp, metro-geo",2026-02-20T04:56:36.074282+00:00
atlanta-families,2026-02-20,North Cobb Christian School,Featured Day Camps,day,"Your child is unique, and their summer should be, too. Choose a customized camp program where your child can dive deep into areas of interest, or have a blast at NCCS’s weekly high-energy Camp Eagle – within a nurturing Christian school environment. June 1-July 17",https://www.atlantaparent.com/directory/51494/north-cobb-christian-school-summer-camps-2/,Atlanta Parent,https://www.ncchristian.org/camps,www.ncchristian.org,Camps + After School - North Cobb Christian School,high,60,"exact-name-match, tokens:3, camp",2026-02-20T04:56:39.367370+00:00
atlanta-families,2026-02-20,OMNI International School Summer Camp,Featured Day Camps,day,"Academic enrichment blended with hands-on, theme-based experiences, keeping students engaged and curious. Full-day sessions strengthen skills in students’ target language, math and ELA, while diving into exciting weekly STEAM-inspired themes. Each week builds on the next, so learning builds on knowledge and continues without feeling like school. June 8-July 17",https://www.atlantaparent.com/directory/66307/omni-international-school-summer-camp/,Atlanta Parent,https://omni.regfox.com/omni-international-school-summer-camp-2025,omni.regfox.com,OMNI International School Summer Camp 2025,high,54,"exact-name-match, tokens:2, summer+camp",2026-02-20T04:56:40.489028+00:00
atlanta-families,2026-02-20,Pace Academy,Featured Day Camps,day,"The Adventure Begins Here! Camps for K-12th grade for Pace students and students from other schools. Camp options include academic, athletic, STEAM, visual/ performing arts and specialty programs! Driver’s Education, SSAT, Baby Sitters Club camps and workshops are available for older students. June 1-July 17",https://www.atlantaparent.com/directory/16300/pace-academy-summer-programs/,Atlanta Parent,https://www.destinationtheatre.org/pace-summer-camp-programs,www.destinationtheatre.org,Pace Academy Summer Camps — DESTINATION THEATRE,high,51,"exact-name-match, tokens:1, summer+camp",2026-02-20T04:56:41.813288+00:00
