portal_slug,research_date,camp_name,section,source_type,blurb,listing_url,source_name,alternate_source_url,alternate_source_domain,alternate_source_title,alt_confidence,alt_score,alt_reason,alt_checked_at
atlanta-families,2026-02-20,Anyone Can Camps,Featured Day Camps,day,"Discover your spark at Anyone Can, where campers ages 4-12 try new activities and find their passions. A variety of arts, athletics, and STEM activities help campers learn at their own pace. Each week, campers make friends, have fun, and find a new spark that keeps them excited about life and encourages them to try new things. June 1-July 10",https://www.atlantaparent.com/directory/65942/anyonecancamp/,Atlanta Parent,https://atlanta.kidsoutandabout.com/content/anyone-can-camps,atlanta.kidsoutandabout.com,Anyone Can Camps | Kids Out and About Atlanta,high,49,"exact-name-match, tokens:1, camp, metro-geo",2026-02-20T04:56:21.556627+00:00
atlanta-families,2026-02-20,Atlanta History Center,Featured Day Camps,day,"Let your kids step back in time or rewrite the future. Let their curiosity and imaginations run wild as they travel back to the ancient world, discover secret superheroes, investigate historic buildings, chase down news stories, write epic tales, and more. June 1-26",https://www.atlantaparent.com/directory/16329/atlanta-history-center-summer-camps/,Atlanta Parent,https://www.atlantahistorycenter.com/programs-events/summer-camp/,www.atlantahistorycenter.com,Summer Camp | Atlanta History Center,high,54,"exact-name-match, tokens:1, summer+camp, metro-geo",2026-02-20T04:56:22.553629+00:00
atlanta-families,2026-02-20,Atlanta Ballet Centre For Dance Education Summer Dance Programs,Featured Day Camps,day,"Register now for an exciting summer filled with dance, movement and creativity! The official school of Atlanta Ballet offers summer programs for all ages and skill levels, led by dedicated instructors who are passionate about enhancing skills, boosting confidence and fostering a love for dance. June 8-July 25",https://www.atlantaparent.com/directory/16012/atlanta-ballet-centre-dance-education-2/,Atlanta Parent,https://mykidcamp.com/host/atlanta-ballet-centre-for-dance-education-atlanta-ga,mykidcamp.com,Atlanta Ballet Centre For Dance Education Summer Camps | My ...,medium,36,"tokens:3, summer+camp, metro-geo",2026-02-20T04:56:23.910877+00:00
atlanta-families,2026-02-20,Builder Bunch,Featured Day Camps,day,"If your child loves LEGO ® and you’re searching for an unforgettable camp experience, Builder Bunch is the perfect choice! Georgia’s #1-rated LEGO camp offers exciting weekly themes like Robotics, Stop-Motion Movie Making, 3D Sculpture, Remote-Control Vehicle Design and Architecture. Ages 6-12. June 1-July 24",https://www.atlantaparent.com/directory/16395/builder-bunch-summer-camp/,Atlanta Parent,https://www.funclubs.com/camps/builder-bunch-lego-camp,www.funclubs.com,LEGO Summer Camp | School Break & Summer Camps - FunClubs,high,54,"exact-name-match, tokens:2, summer+camp",2026-02-20T04:56:24.832906+00:00
atlanta-families,2026-02-20,Camp Invention,Featured Day Camps,day,"Inspire innovative thinking with fun-filled STEM experiences designed to spark creativity and a love for learning. Rising K-6 campers will collaborate with friends to tackle hands-on, open-ended challenges. They’ll team up with robotic capybaras, ride the waves of entrepreneurship, uncover the power of protecting their ideas and build their own DIY space rocket! June 1-July 17",https://www.atlantaparent.com/directory/16396/camp-invention/,Atlanta Parent,https://atlanta.kidsoutandabout.com/content/camp-invention-summer-2025,atlanta.kidsoutandabout.com,Camp Invention Summer 2025 | Kids Out and About Atlanta,high,54,"exact-name-match, tokens:1, summer+camp, metro-geo",2026-02-20T04:56:26.036771+00:00
atlanta-families,2026-02-20,Career Camp Atlanta,Featured Day Camps,day,"Career discovery should be engaging, inspiring, and hands-on. Career Camp ATL is designed to immerse students grades 6-12 in real-world experiences that go beyond what schools offer, providing practical insights, mentorship, and skill-building opportunities through career exploration workshops that will help shape their future. June 14-17",https://www.atlantaparent.com/directory/69108/career-camp-atlanta/,Atlanta Parent,,,Summer Academy Camps at University of Georgia,none,19,"summer+camp, metro-geo",2026-02-20T04:56:27.239151+00:00
atlanta-families,2026-02-20,Center for Puppetry Arts,Featured Day Camps,day,"Puppet Camp is the ultimate summer adventure! Campers will have a blast learning about puppetry traditions from all over the world, building their own puppets, and playing and exploring with new friends. Summer Puppet Camps are designed to inspire their specific age group. June 1-July 31",https://www.atlantaparent.com/directory/56986/center-for-puppetry-arts-3/,Atlanta Parent,https://puppet.org/programs/puppet-summer-camp/,puppet.org,Puppet Camp at Center for Puppetry Arts,high,57,"exact-name-match, tokens:2, summer+camp",2026-02-20T04:56:28.369179+00:00
atlanta-families,2026-02-20,Club SciKidz Summer Camps,Featured Day Camps,day,"Club SciKidz is the best place under the sun for STEM based science and technology camps. 70+ offerings include topics such as Veterinary Medicine, LEGO Robotics, Minecraft, American Doll, and Environmental Sciences such as Climate Change and Rescuing the Rainforest! June 8-July 24",https://www.atlantaparent.com/directory/16398/club-scikidz-2/,Atlanta Parent,https://mommypoppins.com/atlanta-kids/directory/club-scikidz-summer-camps,mommypoppins.com,Club SciKidz Summer Camps | Mommy Poppins,high,54,"exact-name-match, tokens:1, summer+camp, metro-geo",2026-02-20T04:56:29.413592+00:00
atlanta-families,2026-02-20,Community Music Centers of Atlanta,Featured Day Camps,day,"CMC Atlanta’s popular themed day camps for kids strike the perfect balance between a creative, effective music curriculum and some good, old-fashioned fun. Themed camps for grades K-5 and Performance Workshops for grades 6-8 and 9-12 include private lessons; four convenient Atlanta locations. June 1-July 31",https://www.atlantaparent.com/directory/16017/community-music-centers-atlanta/,Atlanta Parent,https://atlanta.kidsoutandabout.com/content/day-camps-kids-community-music-centers-atlanta,atlanta.kidsoutandabout.com,Day Camps for Kids - Community Music Centers of Atlanta,high,63,"exact-name-match, tokens:3, camp, metro-geo",2026-02-20T04:56:30.650373+00:00
atlanta-families,2026-02-20,Dad’s Garage Summer Camp,Featured Day Camps,day,"Dad’s Garage, the award-winning nonprofit theatre based in Atlanta, offers comedy and performance camps to kids with a focus on the theatre’s specialty: improv. Campers of all performance levels learn the basics of improv—communication, collaboration, and resiliency—in a supportive, encouraging, and fun atmosphere. June 1-July 31",https://www.atlantaparent.com/directory/19151/dads-garage-theatre-kids-teens-summer-camp/,Atlanta Parent,https://eastatlanta.macaronikid.com/events/67f54220032752b1cabec446/dads-garage-summer-camp-open-house,eastatlanta.macaronikid.com,Dad's Garage Summer Camp Open House | Macaroni KID East ...,high,54,"exact-name-match, tokens:1, summer+camp, metro-geo",2026-02-20T04:56:31.657087+00:00
